,song_id_from_src,dataset,title,artist,genre,arousal_mean,arousal_std,valence_mean,valence_std,emotion_4Q,emotion_2Q,lyrics,language,general_genre
2868,ML1358,MoodyLyrics4Q,Promises,Megadeth,Thrash Metal,,,,,angry,negative,"Two hearts that shouldn't Talk to each other become close In a town much like a prison cell People speak our names On the street in hushed tones Oh, the stories they'd tell If anyone would listen If anyone would listen... You come from a town where People don't bother saying ""Hello"" Unless somebody's born or dies And I come from a place where they Drag your hopes through the mud Because their own dreams are all dying And when we walk down the street The wind sings our name in rebel songs The sounds of the night should make us anxious But it's much too late when the fear is gone I will meet you in the next life, I promise you Where we can be together, I promise you I will wait 'til then in Heaven, I promise you I promise, I promise There's so many fighting To get past the Pearly Gates But nobody ever wants to die or get saved Their intentions aren't that good And I can smell the asphalt That's their personal road to Hell being paved And when we walk down the street The wind sings our name in rebel songs But it's much too late when the fear is gone I will meet you in the next life, I promise you Where we can be together, I promise you I will wait 'til then in Heaven, I promise you I promise, I promise  [Instrumental Break] I will meet you in the next life, I promise you Where we can be together, I promise you I will wait 'til then in Heaven, I promise you I promise, I promise  [Instrumental Outro]",en,Metal
3238,ML1728,MoodyLyrics4Q,Fear of the moment,Destruction,Thrash Metal,,,,,angry,negative,I - am a ready die The world won't miss me You wanna know why? Humanity - is out of control Why should I stay and play my lousy role?  I - can't stand the pain The script is written Don't wanna remain Now - the time is right Won't be too difficult To give up the last fight  Fear of the moment My world is a maze with a dead end Fear of the moment The will to live is hard to defend  If I - would pass away Would they ever miss me Maybe just for one day? If I - would have real friends The dead end would make no fucking sense  This pain is shredding - rewind! The sense of a free mind  I - I feel the season is right To attract attention and stop the fight Why - you wanna know why? My time isn't up I'm not ready to die!!!,en,Metal
2819,ML1309,MoodyLyrics4Q,I Got You,Split Enz,New Wave,,,,,angry,negative,"I got you And that's all I want I won't forget That's a whole lot I don't go out Not now that you're in Sometimes we shout But that's no problem I don't know why sometimes I get frightened You can see my eyes, you can tell that I'm not lying Look at you You're a pageant You're everything That I've imagined But something's wrong I feel uneasy You show me Tell me you're not teasing I don't know why sometimes I get frightened You can see my eyes, you can tell that I'm not lying I don't know why sometimes I get frightened You can see my eyes, you can tell me you're not lying There's no doubt Not when I'm with you When I'm without I stay in my room Where do you go I get no answer You're always out It gets on my nerves I don't know why sometimes I get frightened You can see my eyes, you can tell that I'm not lying But I don't know why sometimes I get frightened You can see my eyes, you can tell me you're not lying I don't know why sometimes I get frightened You can see my eyes, you can tell that I'm not lying",en,Rock
3279,ML1769,MoodyLyrics4Q,McFearless,Kings of Leon,Rock,,,,,angry,negative,"[Verse 1] Strain living with a name they get the best of me But I don't walk away No complaint I got much to gain so they keep testing me And I keep feeding their face They could go off and hit the road and what would I care Hell I ain't going nowhere I got the reigns and courage I was made of And they've got fake love  [Chorus] So I know I must show it's my show I must go with my soul Not my hand where I stand It's my role, it's my soul  [Verse 2] Pearls and necklaces and girls and all the pretty things I ain't seeking to have It's safe to say if I don't get this out of me I might quite easily End up dead or just mad Cross my t's and try to dot my i's But that's just blinding me and I ain't living that way I roll my sleeves to make a better man of me or I might easily Just give up on this show  [Chorus] It's my show I must go with my soul Not my hand where I stand It's my role, it's my soul I must show it's my show I must go with my soul Not my hand where I stand It's my role, it's my soul I must show it's my show",en,Rock
3262,ML1752,MoodyLyrics4Q,Vanilla Ice Cream,Stephen Lynch,,,,,,happy,positive,"*Cheering*  [Verse 1] Have a seat and listen Please don’t say a thing In matters of the heart sometimes the truth will ever sting Just don’t take it personally, this is no attack But we will never last  because I’m white and you are…  also white  [Hook 1] I only like black girls, the brown girls, the café au lait The caramel girls and mocha girls just blow me away If you are nubian I want you to be in every fantasy But if you’re a whitey say nighty-nighty you’re just not the girl for me  [Verse 2] Oh I hate vanilla ice cream I like chocolate instead I hope she likes her soul food with a little wonder bread Don’t call it jungle fever ‘cause that just isn't right I am not a racist some of my best friends are white  [Hook 2] I just prefer black girls, the brown girls, the café au lait The caramel girls and mocha girls just blow me away If you’re a cracker you better get blacker or else you best get out It is no mystery I like a sister see this is what I’m talking about  [Verse 3] Our wedding song will be ebony and ivory And we’ll sing Christmas carols around the old  Kwanzaa  tree But color is not the issue here, it's dignity it's class It’s all about her heart ok it’s partly about that ass  [Hook 3] I want me some black girls, the brown girls the café au lait Oh caramel girls and mocha girls just blow me away If you’re a honky your singing the wrong key it’s the honest truth The skin that she’s dwelling in must contain melanin  that is the fountain of youth  [Outro] Thomas Jefferson Robert De Niro David Bowie To a certain extent Ted Dansen Strom Thermond Strom Thermond Yeah",en,
2539,ML1029,MoodyLyrics4Q,Wild Eyes,Mariee Sioux,,,,,,relaxed,positive,"Tiny darling ghost holder Tiny darling ghost holder You, our soft spirit breather And you, our bark-skinned weaver Remember you could weep fire Remember you could weep fire Remember you could weep fire with wild eyes With wild eyes, ooo those wild eyes If you ring your cells like bells in a garden You plant your burdens way deep down in And water them daily from wells of salty guilt For sons who'd pollinate the deadly That wild eye, ooo that wild eye Papa, my pine whistler sparrow-eyed sun misser Papa, my pine whistler sparrow-eyed moon blisser Mama, my jaw clencher spirit mouth ghost dancer Mama, my vein braider thousand-year bone burner Mama, my tongue twister thousand-pronged antlers Mama, my tongue twister thousand-pronged antlers Mama, my vein braider thousand-pronged antlers, antlers And ooo her wild eyes, ooo her wild eyes So I will ring my cells like bells As you bind your father's molecules with roots of silver Pierce him cedars with eyes like fingers Picking bloody flowers His wild eyes, ooo his wild eyes Papa, my pine whistler sparrow-eyed sun misser Papa, my pine whistler sparrow-eyed moon blisser Mama, my jaw clencher spirit mouth ghost dancer Mama, my vein braider thousand-year bone burner Mama, my tongue twister thousand-pronged antlers Mama, my tongue twister thousand-pronged antlers Mama, my vein braider thousand-pronged antlers, antlers Ooo her wild eyes, ooo her wild eyes Tiny green moss collector Sweet tiny green moss collector Remember you could catch fire Remember you could catch fire Remember you could catch fire with wild eyes With wild eyes, ooo those wild eyes And once the river is rolling lower We'll gather lichen from the boulders We'll keep it dry inside our lockets We'll put this down down into our pockets We'll try try to leave the branch arms behind The swaying hands of pines Their needles tugging at your skin Trying to pull you back deep In their wooden womb of a hundred hearts Hanging, suspended, moth-eaten Those muscles the size of your fist All floating around your head Not knowing who they're a-loving Not knowing how fast they're a-pumping Not knowing how hard they're a-beating Not knowing who they're a-punching Those muscles the size of your fist All floating around your head And throwing punches like we throw the stones To the bottom of riverbeds Who knows who is next? To watch from under the currents The rapids rapidly raging while rapid While we're rapidly blinking Our wild, wild, our wild Our wild, our wild eyes",en,
1718,ML208,MoodyLyrics4Q,The Red,Chevelle,Alternative Rock,,,,,angry,negative,"[Verse 1] They say 'Freak' When you're singled out The red Well, it filters through  [Chorus] So lay down, the threat is real When his sight goes red again  [Bridge] Seeing red again Seeing red again  [Verse 2] This change He won't contain Slip away To clear your mind  [Verse 3] When asked Who made it show The truth He gives in to most  [Chorus] So lay down, the threat is real When his sight goes red again  [Instrumental Break]  [Chorus x2] So lay down, the threat is real When his sight goes red again  [Bridge 2) Seeing red again, seeing red again Seeing red again, seeing red again Seeing red again, seeing red again Seeing red again, seeing red!  [Outro] They say 'Freak' When you're singled out The red It filters through",en,Rock
2997,ML1487,MoodyLyrics4Q,Wiseman,Slightly Stoopid,Alternative Hip-Hop,,,,,relaxed,positive,"[Chorus] For the man who feel him a fool For, he be the wise man Not for the man who don't feel him a fool He control his destiny Yet them's too cool for themselves For themself For themself  [Bridge] 'S all I need Is something to keep me moving on  [Verse 1] In a world Full of violent rage And everybody seems so strange to me  [Chorus] For the man who feel him a fool For, he be the wise man Not for the man who don't feel him a fool He control his destiny Yet them's too cool for themselves For themself For themself So (too cool)  [Verse 2] The weapon of destruction Swallows people's suffering (They don't need) In all the confusion You ain't winning if you're losing They don't need  [Chorus] For the man who feel him a fool For, he be the wise man Not for the man who don't feel him a fool He control his destiny Yet them's too cool for themselves For themself For themself So  [Verse 3] Even if my heart was gold, yeah Not even if my soul had wings and I were fly, yeah Never stoppin' no people You'll never stop em from crying, no, no Never stop em from killing You'll never stop em from trying, no, no  [Chorus]",en,Hip-Hop
2747,ML1237,MoodyLyrics4Q,Maggie's Farm,Rage Against the Machine,Rap Metal,,,,,angry,negative,"[Note: cover of Bob Dylan's ""Maggie's Farm"" with lyric changes] I ain't gonna work on Maggie's Farm no more No, I ain't gonna work on Maggie's Farm no more Well, I wake up in the morning, fold my hands, and pray for rain I got a head full of ideas that are drivin' me insane It's a shame, the way she makes me Scrub the floor I ain't gonna work on, nah I ain't gonna work on Maggie's Farm no more I ain't gonna work for Maggie's brother no more Nah, I ain't gonna work for Maggie's brother no more Well, he hands you a nickel, and he hands you a dime And he asks you with a grin, if you're havin' a good time Then he fines you every time you slam the door I ain't gonna work for, nah I ain't gonna work for Maggie's brother no more I ain't gonna work for Maggie's pa no more No, I ain't gonna work for Maggie's pa no more Well, he puts his cigar out in your face just for kicks His bedroom window, it is made out of bricks The National Guard .stands around his door I ain't gonna work for, nah I ain't gonna work for Maggie's pa no more I ain't gonna work for Maggie's ma no more No, I ain't gonna work for Maggie's ma no more Well, she talks to all the servants about man and God and law And everybody says she's the brains behind ma She's sixty-eight but she says she's twenty-four I ain't gonna work for, nah I ain't gonna work for Maggie's ma no more  [Guitar riff] I ain't gonna work on Maggie's Farm no more No, I ain't gonna work on Maggie's Farm no more Well, I try my best to be just like I am But everybody wants you To be just like them They sing while they slave, and I just get bored I ain't gonna work on, nah I ain't gonna work on Maggie's Farm no more",en,Metal
3268,ML1758,MoodyLyrics4Q,I'm a Broken Heart,The Bird And The Bee,,,,,,sad,negative,"Cry As much I want to weep I know I can't have you I wipe my tears away, away I try, I try, I try, I try Wish, wish for the summer Want, to pull over under I wipe my tears away, away I try, I try, I try, I try I try, I try, I try, I try I try to make the best at happiness I'm a broken heart I'm a broken heart I'm a broken heart My love is bleeding I'm a broken heart I'm a broken heart I'm a broken heart An empty feeling I try, I try, I try, I try I try, I try, I try, I try I try to make do with much more of less All, all of our moments have Just become ailments I'm haunted all of every day I try, I try, I try, I try Ache, aching and teething My, big love is bleeding I think I might be dying I try, I try, I try, I try I try, I try, I try, I try I try to make the best at happiness I'm a broken heart I'm a broken heart I'm a broken heart My love is bleeding I'm a broken heart I'm a broken heart I'm a broken heart An empty feeling I try, I try, I try, I try I try, I try, I try, I try I try, I try, I try, I try I try, I try, I try, I try I'm a broken heart I'm a broken heart I'm a broken heart My love is bleeding I'm a broken heart I'm a broken heart I'm a broken heart An empty feeling I try, I try, I try, I try I try, I try, I try, I try I try, I try, I try, I try",en,
3070,ML1560,MoodyLyrics4Q,Middle Class Revolt,The Fall,,,,,,angry,negative,"Everything you see you want Go to clubs Middle class revolt  Put it down....  He wants Homestyle* Sublimates the envy to C2s** Bump into each other and jolt D2s, D1s, bump into each other and jolt Middle class revolt  Calorific Middle class revolt Everything you see Middle class revolt Go to clubs Crashing into C2s Middle class revolt  A man Extremely lazy Exhumes the cooked pigeon His words indignant Because it was cooked wrong Middle class revolt",en,
1527,ML17,MoodyLyrics4Q,Mamacita,Collie Buddz,,,,,,happy,positive,"[Verse 1] Man tend a next shot of tequila The vibes tonight yeah, so sweet yah I man spot this sweet senorita We a bounce to the bass and di tweeter She look, muy bonita The way she move remind me of Selena  [Bridge]: She rock so, she dip so She wanna dance to reggae and calypso Look how the dress hug up pon her hips so Look how she move fast and a do it slow Muy bonita Mamacita  [Hook]: Gal whine let me come behind yuh Eh! Me make she feel alright Woulda dance all night if yuh want to Eh! 'Till a mornin light Love how you feel in front a me so Gal, let me hold you tight  [Verse 2] Look deh, a pure death in the arena Number one gal, prima ballerina Little girl, how u fi come in here She nuh drink, only smoke sensimilla She look, muy bonita You nuh see it, that a my Mona Lisa  [Bridge]  [Hook] (x2)  [Verse 1]  [Bridge]  [Hook] (x2)",en,
2560,ML1050,MoodyLyrics4Q,Back to the Primitive,Soulfly,Thrash Metal,,,,,angry,negative,"[Intro] Um, Dois, Três, Quatro  [Verse] Back to the primitive Fuck all your politics We got our life to live The way we want to be Back to the primitive Fuck all your politics Who feels it, knows it The god will guide me Back to the primitive Fuck all your bullshit We're back to set it free Confronting the negative Back to the primitive Fuck all you wannabe's You don't mean shit to me Let it bleed!  [Chorus] Primitive Primitive Primitive Primitive  [Verse] Back to the primitive Fuck all your politics We got our life to live The way we want to be Back to the primitive Fuck all your politics How it used to be Check your reality Back to the primitive Fuck all your politics Fuck all your wannabes Aaaaaarggghhh! Back to the primitive Fuck all your politics Forever we will be What we want to be  [Chorus] Primitive Primitive Primitive Primitive  [Chorus] Primitive Primitive Primitive Primitive Primitive Primitive Primitive Primitive Primitive Primitive Primitive  [Outro] Primitivo Primitivo Primitivo Primitivo Primitivo Primitivo Primitivo",en,Metal
