,song_id_from_src,dataset,title,artist,genre,arousal_mean,arousal_std,valence_mean,valence_std,emotion_4Q,emotion_2Q
47,58,PMEmo2019,Halfway Off the Balcony,Big Sean,,0.2625,0.152581945197,0.25,0.158113883008,sad,negative
48,59,PMEmo2019,Jump Out the Window,Big Sean,,0.6,0.165831239518,0.6,0.0935414346693,happy,positive
49,60,PMEmo2019,Light,Big Sean,,0.4204545454550001,0.143739893644,0.409090909091,0.177505674452,sad,negative
50,61,PMEmo2019,Moves,Big Sean,,0.375,0.176776695297,0.275,0.192028643697,sad,negative
51,63,PMEmo2019,Owe Me,Big Sean,,0.375,0.19364916731,0.4625,0.243990266199,sad,negative
52,65,PMEmo2019,Sweatshirt - Tribute to Jacob Sartorius,Billboard Masters,,0.5875,0.0800390529679,0.75,0.111803398875,happy,positive
53,66,PMEmo2019,It Don't Hurt Like It Used To,Billy Currington,,0.8625,0.103832798286,0.7625,0.117924764151,happy,positive
54,67,PMEmo2019,River,Bishop Briggs,,0.8,0.178535710714,0.5875,0.158607219256,happy,positive
55,68,PMEmo2019,Do Re mi,Blackbear,,0.65,0.145773797371,0.575,0.225,happy,positive
56,69,PMEmo2019,A Guy With a Girl,Blake Shelton,,0.7125,0.1125,0.775,0.108972473589,happy,positive
57,70,PMEmo2019,Came Here to Forget,Blake Shelton,,0.575,0.160078105936,0.525,0.15612494995999998,happy,positive
58,71,PMEmo2019,Every Time I Hear That Song,Blake Shelton,,0.7625,0.103832798286,0.5875,0.216866894661,happy,positive
59,72,PMEmo2019,Go Ahead and Break My Heart,Blake Shelton,,0.75,0.0968245836552,0.6875,0.100778221854,happy,positive
60,73,PMEmo2019,She's Got a Way With Words,Blake Shelton,,0.5375,0.201943680268,0.6875,0.1875,happy,positive
61,74,PMEmo2019,Bored To Death,Blink 182,,0.8875,0.103832798286,0.775,0.175,happy,positive
62,75,PMEmo2019,Rabbit Hole,Blink-182,,0.9625,0.0572821961869,0.7375,0.180710403685,happy,positive
63,76,PMEmo2019,Is This Love (Extended Mix),Bob Marley,,0.6375,0.152581945197,0.65,0.15612494995999998,happy,positive
64,78,PMEmo2019,Jingle Bell Rock,韩国群星,,0.5,0.213200716356,0.659090909091,0.277421718539,happy,positive
65,79,PMEmo2019,Livin' On A Prayer,Bon Jovi,,0.925,0.114564392374,0.625,0.30103986447,happy,positive
66,80,PMEmo2019,Without a Fight,Brad Paisley,,0.725,0.075,0.7625,0.152581945197,happy,positive
67,81,PMEmo2019,Today,Brad Paisley,,0.6125,0.152581945197,0.7,0.12747548784,happy,positive
68,83,PMEmo2019,The Weekend,Brantley Gilbert,,0.775,0.122474487139,0.725,0.145773797371,happy,positive
69,84,PMEmo2019,Rockin' Around The Christmas Tree (Re-Recorded Version),²¼Â×´ï.Àî(Brenda Lee),,0.5,0.230488611432,0.8,0.15,happy,positive
70,86,PMEmo2019,Somethin' I'm Good At,Brett Eldredge,,0.7,0.15,0.725,0.145773797371,happy,positive
71,87,PMEmo2019,Wanna Be That Song,Brett Eldredge,,0.6625,0.0800390529679,0.6,0.192028643697,happy,positive
72,88,PMEmo2019,In Case You Didn't Know,Brett Young,,0.625,0.167705098312,0.5875,0.185825859341,happy,positive
73,89,PMEmo2019,Sleep Without You,Brett Young,,0.6875,0.128086884574,0.75,0.136930639376,happy,positive
74,90,PMEmo2019,Make Me...,Britney Spears,,0.65,0.15612494995999998,0.4875,0.219729947891,angry,negative
75,91,PMEmo2019,Slumber Party,Britney Spears,,0.8625,0.103832798286,0.7375,0.130503831361,happy,positive
76,92,PMEmo2019,Make Me...,Britney Spears,,0.65,0.192028643697,0.575,0.210653744329,happy,positive
77,93,PMEmo2019,Broadway+For+Orlando,Various Artists,,0.6125,0.197246672976,0.65,0.145773797371,happy,positive
78,94,PMEmo2019,Dance Like Me,Brooklyn and Bailey,,0.7625,0.117924764151,0.8,0.15,happy,positive
79,96,PMEmo2019,24K Magic,Bruno Mars,,0.875,0.176776695297,0.825,0.169558249578,happy,positive
80,97,PMEmo2019,Perm,Bruno Mars,,0.85,0.183711730709,0.75,0.279508497187,happy,positive
81,98,PMEmo2019,That's What I Like,Bruno Mars,,0.7375,0.141972708645,0.65,0.134629120178,happy,positive
82,99,PMEmo2019,Versace On The Floor,Bruno Mars,,0.6875,0.0625,0.6875,0.139754248594,happy,positive
83,100,PMEmo2019,Don't,Bryson Tiller,,0.175,0.12747548784,0.3,0.0829156197589,sad,negative
84,102,PMEmo2019,A Holly Jolly Christmas,Burl Ives,,0.7375,0.141972708645,0.825,0.15,happy,positive
85,103,PMEmo2019,LIFTED,CL,,0.5875,0.1375,0.775,0.0935414346693,happy,positive
86,104,PMEmo2019,Dancing On My Own(Ben Dooks Remix),Calum Scott,,0.8375,0.125623445264,0.825,0.0612372435696,happy,positive
87,105,PMEmo2019,Dancing on My Own,Calum Scott,,0.275,0.122474487139,0.3875,0.1625,sad,negative
88,106,PMEmo2019,Slide,Calvin Harris,,0.7,0.160078105936,0.675,0.139194109071,happy,positive
89,107,PMEmo2019,Rollin,Calvin Harris,,0.6,0.122474487139,0.6125,0.1625,happy,positive
90,108,PMEmo2019,This Is What You Came For,Calvin Harris,,0.8625,0.0673145600892,0.8625,0.0875,happy,positive
91,109,PMEmo2019,Heatstroke,Calvin Harris,,0.8,0.12747548784,0.7875,0.0976281209488,happy,positive
92,113,PMEmo2019,Crying In The Club,Camila Cabello,,0.75,0.111803398875,0.7125,0.148429276088,happy,positive
93,114,PMEmo2019,I Have Questions,Camila Cabello,,0.7375,0.197246672976,0.7375,0.152581945197,happy,positive
94,115,PMEmo2019,La Bicicleta,Carlos Vives,,0.8,0.12747548784,0.8,0.12747548784,happy,positive
95,116,PMEmo2019,Church Bells,Carrie Underwood,,0.9,0.075,0.7625,0.103832798286,happy,positive
96,117,PMEmo2019,Dirty Laundry,Carrie Underwood,,0.85,0.0935414346693,0.7,0.231840462387,happy,positive
97,119,PMEmo2019,How Does A Moment Last Forever,Céline Dion,,0.4875,0.117924764151,0.6625,0.1125,relaxed,positive
98,120,PMEmo2019,No Problem,Chance The Rapper,,0.7625,0.117924764151,0.7625,0.0673145600892,happy,positive
99,123,PMEmo2019,The Only One Who Gets Me,Charles Kelley,,0.3125,0.139754248594,0.4875,0.141972708645,sad,negative
100,124,PMEmo2019,After The Afterparty,Charli XCX,,0.9,0.108972473589,0.8375,0.185825859341,happy,positive
101,126,PMEmo2019,We Don't Talk Anymore,Charlie Puth,,0.7,0.1,0.7,0.210653744329,happy,positive
102,127,PMEmo2019,Attention,Charlie Puth,,0.8125,0.139754248594,0.825,0.169558249578,happy,positive
103,128,PMEmo2019,One Call Away,Charlie Puth,,0.5125,0.1625,0.6,0.15612494995999998,happy,positive
104,132,PMEmo2019,Everybody We Know Does,Chase Rice,,0.85,0.122474487139,0.7125,0.158607219256,happy,positive
105,133,PMEmo2019,No Promises,Cheat Codes,,0.775,0.183711730709,0.7375,0.171846588561,happy,positive
106,134,PMEmo2019,Let Me Hold You (Turn Me On),Cheat Codes,,0.8,0.0829156197589,0.7125,0.1125,happy,positive
107,135,PMEmo2019,Me and your Mama,Childish Gambino,,0.7375,0.2125,0.4,0.266926956301,angry,negative
108,136,PMEmo2019,Redbone,Childish Gambino,,0.625,0.19364916731,0.525,0.134629120178,happy,positive
109,137,PMEmo2019,Money On You,Chris Blue,,0.7625,0.233519271153,0.7,0.210653744329,happy,positive
110,138,PMEmo2019,Take Me To the King,Chris Blue,,0.6625,0.274146402493,0.5875,0.2375,happy,positive
111,139,PMEmo2019,Party,Chris Brown,,0.7125,0.185825859341,0.775,0.122474487139,happy,positive
112,140,PMEmo2019,Back To Sleep,Chris Brown,,0.5625,0.160565407233,0.65,0.122474487139,happy,positive
113,141,PMEmo2019,chris brown - grass ain't greener,Chris Brown,,0.5375,0.230827316408,0.65,0.122474487139,happy,positive
114,142,PMEmo2019,01 Privacy,Chris Brown,,0.6,0.122474487139,0.625,0.136930639376,happy,positive
115,143,PMEmo2019,Holdin' Her,Chris Janson,,0.5625,0.232177195263,0.625,0.185404962177,happy,positive
116,144,PMEmo2019,Fix,Chris Lane,,0.8625,0.0673145600892,0.825,0.0612372435696,happy,positive
117,145,PMEmo2019,For Her,Chris Lane,,0.7625,0.0875,0.75,0.167705098312,happy,positive
118,146,PMEmo2019,Driving Home For Christmas (2003),¿ËÀïË¹ÀûÑÇ(Chris Rea),,0.6625,0.158607219256,0.7375,0.0673145600892,happy,positive
119,147,PMEmo2019,Broken Halos,Chris Stapleton,,0.55,0.160078105936,0.65,0.134629120178,happy,positive
120,148,PMEmo2019,Either Way,Chris Stapleton,,0.4,0.235849528301,0.5,0.158113883008,relaxed,positive
121,149,PMEmo2019,Fire Away,Chris Stapleton,,0.3875,0.22672946434,0.2625,0.117924764151,sad,negative
122,150,PMEmo2019,Parachute,Chris Stapleton,,0.7375,0.117924764151,0.725,0.0935414346693,happy,positive
123,151,PMEmo2019,Tennessee Whiskey,Chris Stapleton,,0.325,0.187082869339,0.6125,0.130503831361,relaxed,positive
124,152,PMEmo2019,Think of You (Duet with Cassadee Pope),Chris Young,,0.825,0.12747548784,0.725,0.207665596573,happy,positive
125,153,PMEmo2019,Sober Saturday Night (feat. Vince Gill),Chris Young,,0.675,0.1,0.65,0.122474487139,happy,positive
126,156,PMEmo2019,Change,Christina Aguilera,,0.6625,0.158607219256,0.55,0.195256241898,happy,positive
127,157,PMEmo2019,Tilted,Christine and the Queens,,0.534090909091,0.213805542298,0.6818181818179999,0.09775369621639997,happy,positive
128,158,PMEmo2019,Johnny B. Goode,Chuck Berry,,0.725,0.0935414346693,0.7875,0.0976281209488,happy,positive
129,159,PMEmo2019,Tears (feat. Louisa Johnson),Clean Bandit,,0.875,0.0559016994375,0.675,0.244948974278,happy,positive
130,160,PMEmo2019,Rockabye (feat. Sean Paul & Anne-Marie),Sean Paul,,0.825,0.1,0.8125,0.0838525491562,happy,positive
131,161,PMEmo2019,Symphony,Clean Bandit,,0.8625,0.103832798286,0.7125,0.22395591084,happy,positive
132,162,PMEmo2019,Rockabye (feat. Sean Paul & Anne-Marie),Sean Paul,,0.875,0.111803398875,0.7375,0.141972708645,happy,positive
133,165,PMEmo2019,Hymn For The Weekend,Coldplay,,0.7375,0.117924764151,0.675,0.195256241898,happy,positive
134,166,PMEmo2019,Hypnotised,Coldplay,,0.625,0.230488611432,0.575,0.169558249578,happy,positive
135,167,PMEmo2019,Flatliner (feat. Dierks Bentley),Cole Swindell,,0.8875,0.141972708645,0.775,0.145773797371,happy,positive
136,168,PMEmo2019,Middle of a Memory,Cole Swindell,,0.7125,0.1125,0.625,0.209165006634,happy,positive
137,169,PMEmo2019,You Should Be Here,Cole Swindell,,0.675,0.15,0.6,0.134629120178,happy,positive
138,170,PMEmo2019,The Scientist,Corinne Bailey Rae,,0.3,0.15,0.6,0.242383992871,relaxed,positive
139,171,PMEmo2019,Ain't Giving Up,Craig David,,0.85,0.0935414346693,0.8125,0.139754248594,happy,positive
140,172,PMEmo2019,BROCCOLI,D.R.A.M.,,0.6375,0.180710403685,0.625,0.14790199457699998,happy,positive
141,174,PMEmo2019,Wishing,DJ Drama,,0.477272727273,0.167010664281,0.534090909091,0.160706086633,relaxed,positive
142,175,PMEmo2019,Too Much Sauce,Future,,0.475,0.192028643697,0.45,0.139194109071,sad,negative
143,176,PMEmo2019,Shining,DJ Khaled,,0.7125,0.17721808598400002,0.65,0.122474487139,happy,positive
144,177,PMEmo2019,For Free,DJ Khaled,,0.55,0.225,0.5375,0.17721808598400002,happy,positive
145,179,PMEmo2019,I Got the Keys,DJ Khaled,,0.7375,0.103832798286,0.3125,0.128086884574,angry,negative
146,180,PMEmo2019,I'm the One,DJ Khaled,,0.575,0.169558249578,0.6875,0.0838525491562,happy,positive
147,181,PMEmo2019,Do You Mind,DJ Khaled,,0.4875,0.103832798286,0.625,0.167705098312,relaxed,positive
148,184,PMEmo2019,Holy Key,DJ Khaled,,0.825,0.203100960116,0.6375,0.1625,happy,positive
149,185,PMEmo2019,I Got the Keys,DJ Khaled,,0.6625,0.2375,0.475,0.266926956301,angry,negative
150,186,PMEmo2019,Shining,DJ Khaled,,0.825,0.1,0.7125,0.158607219256,happy,positive
151,187,PMEmo2019,OTW (Remix),DJ Luke Nasty,,0.7,0.0829156197589,0.675,0.114564392374,happy,positive
152,188,PMEmo2019,Key to the Streets(Chopped Not Slopped),DJ Slim K,,0.3125,0.21830311495700006,0.4,0.165831239518,sad,negative
153,189,PMEmo2019,Middle(4B Remix),DJ Snake,,0.6875,0.1875,0.6375,0.130503831361,happy,positive
154,191,PMEmo2019,Let Me Love You,DJ Snake,,0.7625,0.0875,0.825,0.114564392374,happy,positive
155,192,PMEmo2019,Turn Down for What,DJ Snake,,0.9375,0.0625,0.5375,0.285317805263,happy,positive
156,196,PMEmo2019,Cash Me Outside (#CashmeOutside),DJ Suede The Remix God,,0.4375,0.238812164682,0.3625,0.171846588561,sad,negative
157,197,PMEmo2019,DNCE - Cake By The Ocean (From ＂Grease Live!＂ Music From The Television Event),Various Artists,,0.3375,0.243990266199,0.4375,0.211024287702,sad,negative
158,198,PMEmo2019,Toothbrush,DNCE,,0.863636363636,0.112494260643,0.75,0.184637236469,happy,positive
159,199,PMEmo2019,Shaky Shaky,Daddy Yankee,,0.7875,0.158607219256,0.6875,0.238812164682,happy,positive
160,200,PMEmo2019,"Wat U Mean (Aye, Aye, Aye)",Dae Dae,,0.7,0.15,0.5625,0.21830311495700006,happy,positive
161,201,PMEmo2019,From the Ground Up,Dan + Shay,,0.625,0.158113883008,0.6875,0.1875,happy,positive
162,202,PMEmo2019,How Not To,Dan + Shay,,0.85,0.075,0.7625,0.141972708645,happy,positive
163,203,PMEmo2019,When I Pray For You,Dan + Shay,,0.775,0.122474487139,0.6875,0.115244305716,happy,positive
164,204,PMEmo2019,Evermore,Dan Stevens,,0.7375,0.180710403685,0.5875,0.158607219256,happy,positive
165,207,PMEmo2019,Titanium (Feat. Sia),David Guetta,,0.85,0.222204860433,0.7375,0.2125,happy,positive
166,209,PMEmo2019,Night's On Fire,David Nail,,0.6875,0.128086884574,0.775,0.134629120178,happy,positive
167,210,PMEmo2019,Hide Away,Daya,,0.8125,0.100778221854,0.725,0.134629120178,happy,positive
168,211,PMEmo2019,"Sit Still, Look Pretty",Daya,,0.65,0.075,0.65,0.207665596573,happy,positive
169,212,PMEmo2019,Body Say,Demi Lovato,,0.6625,0.125623445264,0.6,0.165831239518,happy,positive
170,213,PMEmo2019,Panda (#PANDATO Version),Desiigner,,0.5625,0.178972763291,0.3625,0.18915932438,angry,negative
171,215,PMEmo2019,Tiimmy Turner,Desiigner,,0.525,0.0935414346693,0.5125,0.130503831361,happy,positive
172,216,PMEmo2019,Different for Girls,Dierks Bentley,,0.65,0.15612494995999998,0.6625,0.1375,happy,positive
173,217,PMEmo2019,Black,Dierks Bentley,,0.6125,0.1625,0.575,0.169558249578,happy,positive
174,219,PMEmo2019,Drunk On A Plane,Dierks Bentley,,0.8375,0.125623445264,0.75,0.14790199457699998,happy,positive
175,220,PMEmo2019,Somewhere on a Beach,Dierks Bentley,,0.6875,0.178972763291,0.675,0.12747548784,happy,positive
176,221,PMEmo2019,On My Mind,Disciples,,0.8125,0.0838525491562,0.7,0.187082869339,happy,positive
177,222,PMEmo2019,The Sound Of Silence,Disturbed,,0.6625,0.168170300588,0.35,0.108972473589,angry,negative
178,224,PMEmo2019,Sneakin',Drake,,0.5875,0.1125,0.5,0.125,happy,positive
179,225,PMEmo2019,Get It Together,Drake,,0.4125,0.125623445264,0.525,0.192028643697,relaxed,positive
180,227,PMEmo2019,Jumpman,Drake,,0.475,0.15612494995999998,0.425,0.187082869339,sad,negative
181,228,PMEmo2019,KMT,Drake,,0.55,0.160078105936,0.425,0.15,angry,negative
182,229,PMEmo2019,No Long Talk,Drake,,0.45,0.160078105936,0.4,0.165831239518,sad,negative
183,230,PMEmo2019,Glow,Drake,,0.3625,0.171846588561,0.7375,0.0875,relaxed,positive
184,231,PMEmo2019,With You,Drake,,0.5375,0.1375,0.55,0.114564392374,happy,positive
185,232,PMEmo2019,Faithful,Drake,,0.4125,0.230827316408,0.475,0.134629120178,sad,negative
186,233,PMEmo2019,Controlla,Drake,,0.4,0.145773797371,0.4875,0.171846588561,sad,negative
187,234,PMEmo2019,Portland,Drake,,0.3875,0.152581945197,0.4375,0.178972763291,sad,negative
188,235,PMEmo2019,Too Good,Drake,,0.45,0.160078105936,0.7,0.1,relaxed,positive
189,236,PMEmo2019,4422,Drake,,0.3125,0.139754248594,0.3,0.169558249578,sad,negative
190,237,PMEmo2019,Pop Style,Drake,,0.525,0.134629120178,0.3125,0.170018381359,angry,negative
191,238,PMEmo2019,One Dance,Drake,,0.6375,0.219729947891,0.5625,0.139754248594,happy,positive
192,239,PMEmo2019,Ice Melts,Drake,,0.625,0.19364916731,0.6875,0.170018381359,happy,positive
193,241,PMEmo2019,9,Drake,,0.525,0.22912878474800005,0.5625,0.170018381359,happy,positive
194,242,PMEmo2019,Blem,Drake,,0.625,0.07905694150419999,0.6125,0.117924764151,happy,positive
195,244,PMEmo2019,Childs Play,Drake,,0.2875,0.185825859341,0.4125,0.216866894661,sad,negative
196,249,PMEmo2019,Fake Love,Drake,,0.5375,0.158607219256,0.45,0.231840462387,angry,negative
197,251,PMEmo2019,Feel No Ways,Drake,,0.431818181818,0.1234406874,0.465909090909,0.177505674452,sad,negative
198,252,PMEmo2019,Fire & Desire,Drake,,0.1375,0.117924764151,0.3625,0.197246672976,sad,negative
199,253,PMEmo2019,Free Smoke,Drake,,0.6125,0.130503831361,0.525,0.215058131676,happy,positive
200,257,PMEmo2019,Gyalchester,Drake,,0.4125,0.185825859341,0.3125,0.115244305716,sad,negative
201,258,PMEmo2019,Hype,Drake,,0.675,0.0829156197589,0.475,0.122474487139,angry,negative
202,260,PMEmo2019,Jorja Interlude,Drake,,0.4625,0.256478556609,0.3,0.114564392374,sad,negative
203,263,PMEmo2019,Keep The Family Close,Drake,,0.4125,0.0976281209488,0.35,0.145773797371,sad,negative
204,265,PMEmo2019,Madiba Riddim,Drake,,0.5125,0.205015243336,0.675,0.169558249578,happy,positive
205,267,PMEmo2019,Nothings Into Somethings,Drake,,0.275,0.175,0.35,0.145773797371,sad,negative
206,269,PMEmo2019,Passionfruit,Drake,,0.5875,0.148429276088,0.6375,0.171846588561,happy,positive
207,273,PMEmo2019,Redemption,Drake,,0.3375,0.1125,0.3625,0.180710403685,sad,negative
208,275,PMEmo2019,Since Way Back,Drake,,0.3375,0.168170300588,0.4125,0.1375,sad,negative
209,276,PMEmo2019,Skepta Interlude,Drake,,0.65,0.192028643697,0.5125,0.180710403685,happy,positive
210,277,PMEmo2019,Sneakin’,Drake,,0.2,0.187082869339,0.3875,0.197246672976,sad,negative
211,279,PMEmo2019,Summer Sixteen,Drake,,0.3625,0.18915932438,0.4625,0.148429276088,sad,negative
212,280,PMEmo2019,Teenage Fever,Drake,,0.325,0.15,0.525,0.2,relaxed,positive
213,282,PMEmo2019,"Two Birds, One Stone",Drake,,0.5375,0.201943680268,0.525,0.175,happy,positive
214,283,PMEmo2019,U With Me?,Drake,,0.575,0.0829156197589,0.5375,0.216866894661,happy,positive
215,284,PMEmo2019,Views,Drake,,0.4625,0.168170300588,0.4875,0.141972708645,sad,negative
216,285,PMEmo2019,Weston Road Flows,Drake,,0.5125,0.171846588561,0.525,0.175,happy,positive
217,287,PMEmo2019,Body,Dreezy,,0.5,0.158113883008,0.6875,0.150519932235,happy,positive
218,292,PMEmo2019,Blow Your Mind (Mwah),Dua Lipa,,0.95,0.0829156197589,0.8625,0.103832798286,happy,positive
219,293,PMEmo2019,Mind Reader,Dustin Lynch,,0.6375,0.1625,0.6375,0.117924764151,happy,positive
220,294,PMEmo2019,Seein' Red,Dustin Lynch,,0.7,0.12747548784,0.55,0.195256241898,happy,positive
221,295,PMEmo2019,Small Town Boy,Dustin Lynch,,0.725,0.145773797371,0.75,0.111803398875,happy,positive
222,296,PMEmo2019,You're Welcome,Dwayne Johnson,,0.8125,0.0838525491562,0.8,0.114564392374,happy,positive
223,297,PMEmo2019,My Girl,Dylan Scott,,0.675,0.0829156197589,0.7,0.0612372435696,happy,positive
224,298,PMEmo2019,Castle on the Hill,Ed Sheeran,,0.725,0.145773797371,0.7375,0.180710403685,happy,positive
225,299,PMEmo2019,How Would You Feel (Paean),Ed Sheeran,,0.25,0.125,0.65,0.235849528301,relaxed,positive
226,300,PMEmo2019,06-ed_sheeran-photograph,Ed Sheeran,,0.55,0.217944947177,0.7625,0.171846588561,happy,positive
227,301,PMEmo2019,Shape of You,Ed Sheeran,,0.825,0.114564392374,0.7875,0.125623445264,happy,positive
228,302,PMEmo2019,Thinking Out Loud,Ed Sheeran,,0.5,0.167705098312,0.575,0.178535710714,happy,positive
229,303,PMEmo2019,Mr. Blue Sky (Album Version),Electric Light Orchestra,,0.7375,0.130503831361,0.6125,0.1625,happy,positive
230,304,PMEmo2019,America's Sweetheart,Elle King,,0.9,0.0935414346693,0.7375,0.219729947891,happy,positive
231,305,PMEmo2019,Still Falling For You,Ellie Goulding,,0.9375,0.0838525491562,0.75,0.167705098312,happy,positive
232,306,PMEmo2019,Step Into Christmas,Elton John,,0.775,0.183711730709,0.875,0.167705098312,happy,positive
233,307,PMEmo2019,Hurts,Emeli Sandé,,0.9,0.0935414346693,0.575,0.160078105936,happy,positive
234,308,PMEmo2019,Love The Way You Lie,Eminem,,0.8125,0.100778221854,0.85,0.165831239518,happy,positive
235,309,PMEmo2019,Infinite,Eminem,,0.35,0.165831239518,0.3875,0.141972708645,sad,negative
236,310,PMEmo2019,Something There,Emma Watson,,0.4,0.134629120178,0.675,0.203100960116,relaxed,positive
237,312,PMEmo2019,DUELE EL CORAZON,Enrique Iglesias,,0.8375,0.0976281209488,0.7875,0.125623445264,happy,positive
238,313,PMEmo2019,Kill a Word,Eric Church,,0.5375,0.1375,0.6625,0.0976281209488,happy,positive
239,314,PMEmo2019,Record Year,Eric Church,,0.5625,0.160565407233,0.65,0.145773797371,happy,positive
240,315,PMEmo2019,Bring Me To Life,Evanescence,,0.85,0.145773797371,0.65,0.165831239518,happy,positive
