song_id,mean_arousal,std_arousal,mean_valence,std_valence
150,5,2.582,5.4,2.319
151,4,2.0548,4.5,1.354
152,4.4,1.7127,5.6,1.5055
153,3.9,2.0248,4.5,1.7795
154,4.2,1.7512,4.1,1.9692
155,3.6,2.0656,5.4,0.96609
156,6.4,1.2649,6.7,0.48305
157,4,1.7638,6.2,1.1353
158,2.1,0.73786,3.6,1.5055
159,3.8,2.6998,3.1,1.912
160,3.5,2.2236,3.5,1.6499
161,6.3,1.2517,3.5,2.0138
162,3.7,1.767,4.6,1.075
163,3.6,1.3499,4.5,1.4337
164,4.1,1.792,2.9,2.079
166,3.1,1.5239,4.2,1.1353
167,2.7,1.4181,3.3,1.7029
168,3.3,1.4181,3.4,1.6465
169,2.4,0.84327,2.8,1.1353
170,3,1.633,5,1.5635
171,2.1,0.73786,3.6,1.8379
172,3.8,2.3476,5,2.357
173,4.6,1.7764,2.2,1.2293
174,4,1.6997,3.8,1.4757
175,3.7,1.4181,4.3,1.6364
176,2.4,1.7127,3.9,1.6633
177,4.8,1.4757,5.6,1.8379
178,2.8,2.201,3.7,2.2136
179,5.2,2.1499,6,2.0548
180,4.8,1.9889,5.9,1.4491
181,3.7,2.2136,2.5,0.97183
182,2.2,0.91894,3.7,2.1628
184,3.6,1.9551,3.4,1.1738
185,4.9,2.0248,4.6,1.4298
186,3.7,1.767,4,1.6997
187,2.5,1.9579,3.7,2.0575
188,4,1.633,3.3,1.6364
189,6.5,1.7159,7.1,1.6633
190,2.8,1.9322,3.1,1.3703
191,5.1,2.1318,6.3,2.0028
192,5.8,0.63246,6.1,0.56765
193,4.1,1.912,3,1.4142
194,2.7,1.8886,4.7,1.3375
195,4.2,2.044,2.7,0.82327
196,4.3,1.767,4.5,1.7159
197,2.2,1.4757,2.8,1.3984
198,1.9,0.73786,3.3,1.8886
199,5.3,1.567,5.7,1.3375
201,3.7,1.567,4.8,1.6193
202,4.6,1.4298,5.2,1.4757
203,3.5,2.0683,4.8,1.7512
204,3.6,2.1187,2.2,1.0328
205,3,1.4907,4.5,2.1213
206,2.3,0.82327,2.6,1.075
207,4.8,2.201,4.8,2.5734
208,4.8,2.1499,6.5,1.0801
209,3.1,0.99443,4.6,1.9551
210,4.2,2.2509,5.5,2.273
211,3.1,1.2867,4.9,0.8756
212,4.6,1.6465,5.4,1.8974
213,2.6,1.5776,2.5,1.7159
214,3.6,2.0656,4.1,1.6633
215,3.2,2.201,2.6,1.2649
216,4.5,1.6499,5.3,1.1595
217,3.5,1.6499,4.8,1.6865
218,2.9,1.4491,4,1.5635
219,2.4,0.84327,3.8,1.5492
220,4.1,1.5951,3.4,1.075
221,4.3,1.6364,3.4,1.8974
222,3.8,1.3984,4.3,2.4967
223,2.2,1.1353,3.5,2.273
224,5.5,1.5811,5.7,1.8886
225,3.7,1.9465,4.2,1.6865
226,4.9,1.792,5,1.633
227,3.1,1.1972,3.5,1.5811
228,3.5,1.7159,4,1.3333
229,4.8,1.6865,4.8,1.5492
231,4.1,1.5239,5.6,1.7764
232,2.5,1.8409,2.7,1.0593
233,4.7,1.567,4.5,1.9003
234,3.5,2.5055,3.9,1.5239
235,3,1.1547,3.7,1.4181
236,2.5,1.5811,2.4,1.2649
237,4.2,2.201,3.9,1.3703
238,3,2.0548,4.6,1.8974
239,2.3,2.0028,3.3,1.6364
240,6.4,1.4298,6.6,1.075
241,4.1,2.2336,4.6,1.4298
242,3.5,1.8409,4.7,1.6364
243,7.2,1.4757,4.1,2.2828
244,4.3,1.4181,4.2,1.7512
245,4.2,2.0976,6.1,1.6633
246,4.9,2.8067,3.2,2.1499
247,3.9,1.2867,4.5,1.354
248,3.4,1.6465,3.7,1.0593
250,3.4,2.1705,3.6,1.4298
253,6.6,1.6465,2.5,0.84984
254,5.3,2.406,7.4,1.1738
257,7.6,1.5776,6.9,1.792
258,4.3,1.4181,4.3,1.4181
260,5.3,1.4944,3.6,1.7127
262,5.6,1.5776,6.9,0.99443
264,5.3,1.3375,5.5,1.5811
265,4.5,1.7795,6.4,0.69921
266,3.6,1.5776,4.8,2.044
269,4.3,1.8288,4.8,2.044
270,6.1,1.7288,7.1,1.7288
272,5.9,1.912,6.4,1.9551
273,5.4,1.8379,7.2,0.91894
274,7.7,0.94868,6,2.1082
275,5.3,1.4944,5.5,1.0801
276,6.1,1.5951,5.3,1.767
278,5.5,2.1731,5.1,1.7288
279,3.6,1.2649,4.7,1.4944
280,4.2,1.7512,3.3,1.1595
281,5.4,2.4129,7,1.2472
282,3.2,1.7512,4.2,0.78881
284,4.4,1.5776,5.2,1.2293
285,3.5,1.0801,5.1,1.4491
286,5.7,2.0575,6.9,1.9692
288,3.5,1.9579,5.2,1.8738
289,5.7,2.0028,6.7,1.0593
290,2.1,0.8756,3.9,1.6633
292,7.3,1.0593,7.4,0.96609
293,6.3,1.7029,4.2,2.044
294,5.5,2.2236,6.5,2.0138
296,5.9,0.99443,5.7,1.3375
297,3.1,1.3703,3.6,1.4298
298,4,1.8257,5.4,1.7764
299,2.8,1.9889,4.3,1.3375
300,6.8,1.1353,4.5,1.9579
301,3.2,1.5492,3.7,1.8288
302,6.6,2.319,7,1.5635
303,7,1.1547,6.4,1.8379
304,3.8,1.8738,4.6,1.7764
305,6.4,1.1738,6.8,1.0328
306,5.7,2.3118,6.7,1.8288
307,6.1,1.1005,6.8,1.4757
308,4.3,1.767,6.6,0.96609
309,5.3,1.767,5.8,1.8738
310,2.1,0.8756,2.7,1.0593
311,5.8,1.6865,6.9,0.99443
312,4.6,1.3499,5.8,1.6865
313,3.6,1.4298,5.3,1.3375
314,5.8,1.2293,5.9,1.2867
315,6.4,1.5055,7.5,0.84984
316,2.8,1.3984,3.5,2.0683
317,6.1,1.792,4.3,1.4181
318,5.9,1.792,5.9,1.5239
319,4.5,2.0683,6.6,0.84327
320,7.4,1.3499,6.6,1.5055
321,7.3,0.82327,6,1.8257
322,6.1,1.2867,7.6,1.075
323,4.8182,1.4709,5.7273,1.5551
324,3.3,1.767,4.7,1.4944
325,5.5,1.8409,5.4,2.1705
326,5.4,1.6465,7.2,1.3166
327,6,1.4142,7.1,1.3703
328,5.2,1.6865,4.2,2.201
329,3.3,2.406,4.2,2.3476
330,5.9,2.4244,3.1,1.9692
332,5.5,1.1785,6.9,0.8756
333,6.7,1.6364,6.1,1.792
334,5.9,1.7288,5.9,2.0248
335,6.8,1.5492,6.8,1.3984
336,6.1,1.5951,6.6,1.5776
338,3,0.8165,3.8,1.5492
339,5.9,1.6633,6.9,1.1972
340,3.8,2.4855,4.6,2.0111
341,3.8,1.8738,4.4,1.7764
342,4,2.1602,5.1,2.2336
343,7,1.8257,8.1,0.8756
344,4.6,1.8379,5.2,1.6865
345,7.2,1.6193,6.5,1.9579
346,6.7,1.0593,7.3,1.6364
347,3.8182,0.98165,5.8182,0.98165
348,5,1.633,5.7,1.8288
349,4.6,1.7764,5.8,1.9889
350,6,2,6.5,1.9003
352,5.5,1.4337,4.5,1.5092
353,4,2.0548,4.8,2.1499
354,7.1,0.99443,6.4,1.3499
355,5.1,1.912,6.5,1.2693
356,4.6,1.9551,5.6,1.4298
357,4.8,1.4757,6.5,1.2693
358,5.6,1.5055,4.2,1.6865
359,2.5,1.1785,3.7,1.7029
360,2.5,1.4337,5.5,1.6499
361,2.5455,1.3685,3.3636,1.6895
362,4,1.7638,5.9,0.8756
364,5.5,1.5092,6.5,1.1785
365,6,1.633,7.1,0.8756
366,6.9,0.99443,6.1,1.3703
367,3.1,1.6633,2.7,0.67495
368,4.8,1.9322,6.1,1.6633
369,2.9,0.73786,3.4,0.84327
370,3.8,1.9889,3.4,1.8974
371,5.2,1.6865,6.6,1.075
372,3.6,1.2649,4.8,1.8135
374,7,1.0541,4.9,1.1972
375,1.9,0.73786,2.8,1.7512
376,5,1.5635,5.9,1.1972
378,5.5,1.9003,5.9,1.7288
379,1.9,0.99443,2.9,1.1972
380,5.6,1.3499,4.8,2.1499
381,6,1.7638,6.7,1.1595
383,4.2,2.201,3.6,1.6465
384,3.6,1.4298,4.1,1.6633
386,5,1.1547,5.5,1.8409
387,6.2,2.3944,6.2,2.6583
390,5.7,1.0593,6.2,0.63246
391,5.5,1.6499,6.1,0.99443
392,3.4,1.7764,4.8,1.5492
393,6,0.8165,6.4,0.69921
395,6.7,1.3375,6.2,1.4757
397,7,1.3333,7,1.4142
399,6.7,0.94868,7,1.0541
400,5.1,1.792,5.6,1.1738
401,5.5,1.5092,6.4,1.2649
402,7.1,1.1005,7.1,0.99443
403,5.1,1.7288,5.2,1.7512
404,6.9,1.4491,6.8,1.3984
405,6.1,2.0248,7.4,0.96609
406,5.3,2.2136,4.3,2.3118
407,4.3,1.767,4.5,1.7159
408,6.6,2.5033,6.1,2.1318
410,3.8,2.0976,5.1,1.792
415,6,1.1547,5.2,1.9322
416,5.5,1.8409,5.2,1.6865
419,3.3,2.1108,4,1.4907
420,4.5,1.354,5.4,1.3499
422,2.8,1.8135,3.7,2.5841
423,5.2,2.6162,4.5,2.4152
425,7.1,0.73786,6.8,0.91894
426,5.3,1.767,5.3,1.4944
427,5.2,1.5492,5.8,0.78881
428,6.6,1.075,6.6,0.96609
429,3.3,1.1595,4.3,2.0028
430,4,2.357,2.9,1.1005
431,6.1,1.8529,5.5,2.0138
432,5.3,2.1108,5.3,1.767
435,4.5,1.8409,5.9,1.5951
436,4.3,2.1108,5.2,1.9322
437,5.2,1.9322,4.3,2.2136
440,5.3,2.2632,6.3,1.8288
441,4.6,1.7764,5.1,1.5951
442,4.1,1.9692,4.5,1.6499
444,2.3,1.1595,2.5,1.2693
445,2.4,1.075,4.6,1.7127
448,6.5556,2.1279,6.3333,2.1213
449,3.6,2.1705,3.8,1.9322
450,4.1,2.1318,5,1.8257
451,4.9,1.3703,4.4,1.8974
452,5.6,1.6465,6.8,0.91894
453,4.6,1.8974,5.6,1.2649
454,5,2.582,4.8,1.5492
455,5.4,1.8379,5.7,1.2517
456,6.1,2.846,2.3,1.3375
458,3.4,1.7764,5,1.8856
459,6.3,0.82327,6.1,1.2867
460,3.8,2.201,3.8,1.8135
461,4.8,1.4757,4.4,1.6465
462,5.8,1.7512,4.6,2.1705
463,5,2.1602,5.7,1.767
464,5.1,1.2867,5.6,1.5776
466,6.6,1.6465,5.9,1.2867
467,5.7,2.3118,6.8,1.2293
468,3.6,1.7127,3.4,2.2706
469,5.1,1.6633,5.3,0.94868
472,6.5,2.2236,5.2,1.6193
473,7.1,1.2867,5.5,2.3214
475,5.6,2.1187,5,2.1082
477,7.1,1.5951,7.2,1.2293
478,2.8,1.2293,3.2,1.1353
479,4.5,1.9003,5.7,0.94868
480,2.7,1.7029,4.1,1.1972
481,3.4,1.6465,4.7,2.0575
482,1.9,0.73786,3.5,2.3214
484,6.4,1.3499,6.5,1.354
485,2.6,0.96609,3.7,1.4944
486,6.2,1.9322,5.7,1.7029
487,4.5,1.6499,5.3,1.2517
488,1.6,0.84327,3.4,1.3499
489,4.6,1.8379,5.2,1.8738
490,3.9,1.5951,3.7,1.767
492,4.4,2.0111,4.8,1.8135
493,3.7,1.6364,4.9,1.1972
494,3.7,1.7029,4.1,1.792
496,4.7,2.2632,5.9,1.912
497,6.2,1.6193,5.7,2.3594
498,2.9,1.9692,2.8,1.5492
499,3.6,1.6465,3.6,1.6465
500,6,1.8856,5.2,1.7512
501,2.5,1.1785,4.4,0.96609
502,4.8,1.8738,4.6,1.7127
503,5.8,1.7512,6.4,1.075
504,4.8,0.91894,4,0.8165
506,2.9,0.99443,4.1,1.4491
507,4.9,1.1972,4.8,1.2293
512,5.1,1.792,5.4,2.0111
513,3.1,1.7288,4.2,1.5492
514,4.3,1.9465,5.8,1.9889
515,3.8,1.4757,3.4,1.2649
518,4.1,1.792,3.4,1.1738
519,6.8,1.9322,5.3,1.8886
520,4,1.633,5.5,1.4337
521,3.8,1.6193,4.6,2.1705
522,3.5,2.2236,2.7,0.94868
523,5.1,1.792,5.9,1.9692
524,3.3,1.3375,4,1.1547
525,4.3,1.6364,4.8,2.0976
527,4,1.7638,5.7,2.0575
529,4.7,1.6364,5.8,1.2293
530,3.3,1.4944,3.5,1.6499
535,6.1,2.1318,6.5,1.7795
536,5.1,1.4491,4.5,0.84984
537,5,2.582,2.6,1.8974
540,4.1,1.9692,4.4,1.5776
544,4.8,2.2509,4.5,1.8409
547,3.4,1.9551,4.8,2.201
550,4.2,1.8738,5.9,1.9692
551,3.2,1.5492,4,1.4907
554,2.8,2.3944,5,2.4944
555,5.2,1.6865,4.8,1.7512
556,5.6,2.1705,6.1,1.7288
558,2.8,1.9322,3.2,1.7512
560,2.9,1.2867,4.6,1.7127
561,6.9,0.73786,7,0.94281
564,4.7,1.767,4.9,1.7288
565,3.1,1.5951,3,1.0541
568,5.4,1.5776,3.1,1.4491
574,4.5,2.1731,4.8,2.044
577,5.6,1.6465,5.5,1.354
579,3.1,2.0248,3.2,1.3984
580,2.4,1.075,4.4,1.3499
581,5.3,1.2517,6,1.0541
582,3.1,1.4491,4.9,1.7288
584,2.5,1.1785,2.4,0.84327
585,4,1.4907,4.2,1.7512
586,5.2,1.4757,5.9,0.73786
591,5.7,1.767,6.2,2.201
592,5.4545,1.1282,5.0909,2.2115
594,4.2,1.9322,3.1,1.5951
597,4.8,1.8738,6.4,0.84327
598,4,1.6997,5.6,1.075
600,3.5,1.9003,4,2.2111
605,4.4,1.8379,6,1.633
606,4.1,1.8529,5.6,1.5776
607,4.4,1.8379,6.1,1.3703
608,2.9,1.7288,3.8,1.9889
609,4.9,2.1318,5.5,1.6499
610,6.3,1.4181,6.5,1.8409
611,5.1,1.6633,4.8,1.8135
612,5.6,1.2649,6.6,0.5164
613,5.2,2.2998,6.8,1.4757
614,4.3,1.567,3.7,1.4181
615,3.2,1.8135,5,0.8165
616,3.5,1.5092,5,1.2472
617,6.5,1.7795,3,1.4142
620,5.8,1.3166,4.4,1.6465
621,2.9,1.2867,4.4,1.1738
622,4.5,2.2236,5,1.8856
623,3.8,1.7512,5.9,1.6633
625,3.1,1.5239,4.4,1.2649
628,4.9,2.1833,6.8,1.7512
629,7.4,0.96609,7.6,0.84327
631,7.6,1.5776,3.1,2.4698
632,4.2,2.201,5.4,1.8974
634,4.7,2.4518,5.8,1.6193
635,6.6,0.96609,7.6,1.075
637,2.2,0.91894,3.6,2.0656
638,3.2,1.5492,4.4,1.7127
639,6.1,0.99443,6.3,1.1595
640,7.6,0.84327,7.8,0.78881
643,3.5,1.1785,4.2,1.8135
644,4.3,1.7029,5.6,2.0656
645,4.6,2.0111,5.7,1.767
646,3.1,1.3703,3.8,1.4757
647,3,1.0541,5.8,0.91894
648,5.1,2.1833,6.8,1.6193
649,6.2,1.0328,6.7,0.67495
650,6,1.0541,4.2,1.7512
651,6.4,1.075,7.1,0.73786
652,2.7778,1.3017,4.1111,1.6915
653,5.3,2.1108,6.5,1.0801
654,5.1,1.912,4.4,1.7764
656,2.6,1.1738,4.1,1.5239
657,5.1,0.99443,5.6,0.84327
658,4.4,1.6465,5.7,1.3375
660,2.1,1.1972,2.8,1.4757
661,2.2,1.8135,2.8,1.7512
662,5.9,1.2867,5.1,2.2336
663,3.3,1.8886,4.3,1.567
664,7,1.0541,6.6,1.5055
665,5.7,1.8288,6.2,1.6865
666,5.3,1.4944,5,2
667,4.2,1.4757,4.9,1.2867
668,5,1.633,5.3,1.7029
671,3.1,1.5951,3.7,1.6364
672,4.4,2.4585,6.3,1.8288
673,6.6,1.3499,6.7,1.4181
674,6.8,1.3984,7.4,1.4298
675,5.1,1.5239,5.8,1.3166
676,6.6,2.5033,6.6,2.5033
677,6.5,2.0138,5.3,1.8886
681,4.9,2.2336,6.6,1.8379
682,4.8,1.3984,6,0.8165
684,4.3,1.7029,4.9,1.5239
685,4.5,2.1213,3.6,2.1187
686,3.4,1.6465,5.5,1.5092
687,7.3,1.1595,7.4,0.96609
688,4.3,1.4944,5,1.6997
689,3.8,1.7512,4.6,1.5055
690,2.4,2.1187,4.4,2.1705
691,5,1.6997,3.7,1.3375
692,6.9,1.4491,6.1,1.792
693,6.2,1.6865,5.3,2.0575
695,5.9,1.6633,6.2,1.8135
696,5.3,2.3594,5.8,2.3476
697,4.8,1.6193,5.8,1.1353
698,3.9,2.0248,3.7,1.7029
699,3.7,1.8886,4.5,1.5811
700,4.8,1.4757,5.6,1.4298
702,7.5,1.5092,3.3,2.0575
703,5.1,2.1318,6,1.6997
704,4.1,1.1005,4.2,1.4757
706,5.5,0.84984,6,0.94281
707,3.2,2.6583,3.1,1.912
708,3.2,2.2998,3.2,1.6865
709,5.8,1.5492,5,1.8856
710,5.4,1.4298,5.1,1.3703
711,2.9,1.1972,3.1,1.1972
712,3.4,1.1738,5.3,1.4944
713,4.9,2.2828,6.3,2.1108
714,4.4,1.8974,4.8,1.8738
715,2.9,1.4491,4.3,1.767
717,4.5,1.354,4.9,1.2867
718,5.9,1.6633,6.5,1.7159
719,7.1,1.1972,7.2,1.2293
721,5.7,1.8886,5.5,1.0801
722,5.7,1.6364,7,0.66667
723,6.5,1.8409,7.2,1.1353
724,6,1.0541,6.1,1.1005
725,5.1,1.792,5.1,1.5239
726,7,2.2608,3.6,1.8379
727,4.3,1.767,4.5,1.9579
728,6.9,1.8529,7.5,1.2693
729,6.4,1.075,3.5,1.6499
730,3.7,1.7029,4.5,1.0801
731,7.3,1.7029,5.8,1.8738
732,5.6,1.8379,6.3,0.94868
733,4.3,1.4944,5,1.5635
734,5.7,1.8886,6.3,1.6364
735,4.3,1.0593,4.9,0.99443
736,2.7,1.4944,3.7,0.94868
737,4.1,0.99443,4.9,1.2867
738,5.5,1.5092,6.2,1.3984
739,6.2,1.6193,6.9,0.99443
740,3.7,1.8886,4,1.4142
741,4.6,1.5776,4.4,1.5776
742,6.1,2.2336,6.5,1.7159
743,3.1,1.5239,5,2.0548
744,6.1,1.3703,5.5,1.1785
745,4.2,1.1353,1.6,0.69921
746,3.7,1.8288,4.6,2.0111
747,3.6,1.4298,4.9,1.2867
748,5.1,2.0248,4.4,1.6465
749,4.2,1.3166,4.9,1.4491
750,5.3,2.1108,5.7,2.0028
756,5.9,1.9692,6.8,0.78881
757,6,1.3333,6.1,1.4491
758,4.8,1.9889,5.9,1.1005
759,6.7,0.94868,5.9,1.1972
763,3.5,1.5092,5.5,1.4337
764,6.3,1.7029,7.5,0.97183
767,5.2,1.3166,6.5,0.52705
769,6.2,1.7512,5,2.1602
773,4.5,1.8409,4.7,2.1108
775,3.7,1.6364,4.4,1.5776
776,3.5,1.8409,4.5,2.3214
777,6.2,2.2509,5.1,2.2828
779,2.8,1.5492,5.3,1.4944
780,5.8,1.4757,6.2,1.6193
781,4.9,2.1318,6.3,2.2136
782,7.2,1.4757,4.7,2.5841
784,4.7,1.767,5.7,1.4181
787,6.1,1.912,6.3,1.7029
789,3.9,2.3781,5.2,2.044
790,7.2,1.3166,5.4,1.5055
791,2.7,1.3375,4.6,1.7764
794,2.5,1.0801,4.2,1.1353
795,2.2,1.0328,3.5,1.1785
796,5.2,2.3944,5.1,1.9692
797,4.9,2.2336,5.4,1.9551
798,6.5,1.5092,5.9,1.8529
799,4.1,1.2867,5.6,0.69921
800,4.5,1.7159,4.5,1.9579
801,3.3,2.1108,3.5,2.2236
804,6.9,1.1005,6.8,0.63246
805,2.2,1.0328,3.5,1.4337
806,6.4,1.7764,6.6,1.8974
807,4.8,1.6865,6.5,0.97183
808,3.1,1.5951,4.3,1.9465
810,6.5,1.6499,6.6,0.69921
811,4.1,1.5239,4.9,1.4491
813,6.2,1.2293,6.7,1.0593
814,6.1,1.4491,5.3,1.7029
815,5.5,1.6499,5.9,0.99443
818,5.9,1.3703,6.8,1.4757
819,4,1.9437,5.7,1.4944
820,6.4,1.5055,6.4,1.4298
823,4.8,1.6193,4.8,1.2293
824,7.2,1.4757,7,1.0541
825,4.1,2.331,5.7,1.2517
826,4,1.633,4.7,1.4181
829,2.3,1.0593,4.5,1.4337
830,5.3,1.567,5.9,1.5239
831,5.2,1.2293,6.2,0.78881
833,5,1.633,5.8,1.2293
834,4.7,1.8288,4.3,1.8886
836,7.1,1.1972,5.7,2.0028
839,5.7,1.4181,4.4,1.8379
841,4.2,1.4757,4.7,1.2517
844,3.8,2.0976,3.4,1.2649
845,5.1,1.9692,4,1.8257
846,6,1.1547,5.5,1.1785
848,2.2,1.3984,2.7,1.1595
850,3.3333,1.9365,2.7778,0.97183
851,5,0.8165,4.4,1.075
852,4.5,1.5811,4.7,2.1628
854,2.9,1.3703,3.8,1.5492
855,2.9,1.9692,4.5,1.4337
856,6.7,0.94868,5.6,0.84327
857,4.9,1.9692,5.3,2.0575
858,4.4,2.1187,4.5,2.3214
859,3.6,2.1187,5.1,2.1318
860,6.6,0.96609,6.7,1.3375
863,6.4,1.1738,7,1.0541
864,5.7,1.1595,5.9,1.1005
865,2.8,1.8738,4.6,1.5776
866,5.8,1.2293,5.1,1.6633
867,5.8,1.9322,6.5,2.1213
869,2.6,1.7764,4.1,2.0248
871,6.4,1.4298,6,1.9437
872,3.4,1.7127,5.5,1.9003
873,6.8,1.0328,7,0.8165
874,6.3,1.567,4.4,2.0656
876,6.3,2.3118,6.7,1.767
879,5.6,1.075,6,1.3333
880,4.9,2.2336,3.8,1.7512
882,5.3,1.767,5.2,1.5492
884,5.5,2.0683,5,1.5635
886,5.9,0.99443,5.4,1.4298
887,5.1,1.7288,5.6,1.5055
889,6.9,1.792,7.2,1.6193
890,3.6,1.6465,4.7,1.767
891,3.4,1.5055,5.5,1.0801
892,3.9,2.1318,2.9,1.1972
893,7.3,1.9465,3.3,2.1628
897,4.9,1.4491,4.3,1.4181
898,6.4,2.0111,5.5,2.0138
899,5.3,1.8886,6.3,1.6364
902,7,0.8165,3.3,1.6364
903,5.9,1.1972,5.6,1.2649
904,5.7,1.2517,4.2,1.8135
908,5.5,1.1785,4.9,1.7288
909,6,2,5.5,2.3214
910,7,1.633,6.6,1.8379
911,7.1,1.2867,4,1.5635
913,4.8,2.044,3.3,1.6364
915,5,2,5.2,1.6193
921,5.9,1.1972,6.1,1.3703
924,5.4,1.8974,6.2,1.4757
925,4.9,1.5951,5.7,1.7029
926,4,1.6997,5.5,1.0801
928,5,2.0548,4,1.8856
931,6.3,2.3118,6.5,1.8409
932,4.5,1.4337,4.9,1.8529
934,6.2,1.8738,6.4,1.7127
936,5.4,1.6465,4.7,1.767
938,7.3,0.82327,4.2,1.3984
939,6.2,1.4757,2.7,1.1595
941,7.2,1.0328,5.9,1.792
942,4.8,1.6865,4.1,2.079
944,7.1,0.99443,6.5,1.2693
945,2.3,1.4181,2.8,1.5492
949,5.7,1.567,6.1,1.2867
952,4.2,2.2509,3.7,1.4181
954,5.1,1.6633,5.5,1.0801
955,3.8,1.4757,5.6,0.84327
956,4.5,1.0801,5.4,0.96609
957,2.8,1.1353,4.7,1.6364
958,5.5,1.9579,5.1,1.912
959,6.2,2.044,6.4,2.1187
960,7.7,1.3375,7.7,0.82327
961,5.6,0.84327,5.5,1.2693
